document_id,first_seen,forms,category,method,rule,mdl_no,docket_id,rules_version,no_text_layer,escalate,evidence
461253327,2026-08-21,abbrev abbrev_no_spaces,noise,RULE,R2,,71291087,2026-08-15b,,,no literal '16.1' in the document or the docket entry
461413897,2026-08-21,abbrev abbrev_no_spaces,noise,RULE,R2,,70244989,2026-08-15b,,,no literal '16.1' in the document or the docket entry
462266622,2026-08-21,abbrev abbrev_no_spaces,noise,RULE,R2,,69965532,2026-08-15b,,,no literal '16.1' in the document or the docket entry
462306811,2026-08-21,abbrev abbrev_no_spaces,noise,RULE,R2,,70324816,2026-08-15b,,,no literal '16.1' in the document or the docket entry
462459060,2026-08-21,abbrev abbrev_no_spaces,post_effective_mdl,RULE,R5a,3170,71221176,2026-08-15b,,,"filed on docket 71221176, the docket of MDL 3170"
464110936,2026-08-21,spelled_out,pre_effective_mdl,RULE,R5,3084,67856158,2026-08-15b,,,Case 3:23-md-03084-CRB Document 4893 Filed 01/05/26 Page 1 of 16 1 2 [Submitting counsel below] 3 4 UN
464112237,2026-08-21,spelled_out,pre_effective_mdl,RULE,R5,3084,71927080,2026-08-15b,,,"OF NORTHERN DISTRICT OF CALIFORNIA SAN FRANCISCO DIVISION 6 7 IN RE: UBER TECHNOLOGIES, INC., No. 3:23-md-03084-CRB 8 PASSENGER SEXUAL ASSAULT LITIGATION PLAINTIFF’S TRIAL BRIEF RE: DUTY 9"
464150837,2026-08-21,abbrev abbrev_no_spaces frcp_periods report_phrase,post_effective_mdl,RULE,S1,3170,71221176,2026-08-15b,,,"search result alone: names the Rule, filed on docket 71221176 (MDL 3170). Not fetched."
464378026,2026-08-21,spelled_out,post_effective_mdl,RULE,R5a,3162,72028506,2026-08-15b,,,"filed on docket 72028506, the docket of MDL 3162"
465828995,2026-08-21,abbrev abbrev_no_spaces,noise,RULE,R2,,71491901,2026-08-15b,,,no literal '16.1' in the document or the docket entry
466008549,2026-08-21,report_phrase,noise,RULE,R3,,71870485,2026-08-15b,,,"D, et al.,. Defendants. -----------------'/ PLAINTIFF DONNAHUE GEORGE'S OPPOSITION TO , DEFEN:DANTS DTCC AND FINRA'S MOTION TO STAY THE REQUIREMENTS OF LOCAL RULE 16.1 Plaintiff Donnahue George (""Plaintiff'), pro se, respectfully files this Opposition to the Motion of Defendants The Depository Trust & Clearin"
466579138,2026-08-21,abbrev abbrev_no_spaces,noise,RULE,R2,,71511670,2026-08-15b,,,no literal '16.1' in the document or the docket entry
467474059,2026-08-21,abbrev abbrev_no_spaces,noise,RULE,R2,,71787813,2026-08-15b,,,no literal '16.1' in the document or the docket entry
